miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	12	7.174283	N
hsa-mir-1307	545	325.832023	N
hsa-mir-130a	306	182.944218	N
hsa-mir-130b	16	9.565711	N
hsa-mir-132	157	93.863537	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.597857	N
hsa-mir-133a-2	2	1.195714	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1124	671.991180	N
hsa-mir-1343	2	1.195714	N
hsa-mir-135a-1	9	5.380712	N
hsa-mir-135a-2	18	10.761425	N
hsa-mir-135b	12	7.174283	N
hsa-mir-136	57	34.077845	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	469	280.394896	N
hsa-mir-140	1814	1084.512457	N
hsa-mir-141	699	417.901989	N
hsa-mir-142	380	227.185630	N
hsa-mir-143	163655	97842.274583	N
hsa-mir-144	23	13.750709	N
hsa-mir-145	20361	12172.964790	N
hsa-mir-1468	23	13.750709	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	242	144.681375	N
hsa-mir-146b	822	491.438390	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.597857	N
hsa-mir-148a	38454	22989.990082	N
hsa-mir-148b	113	67.557832	N
hsa-mir-149	190	113.592815	N
hsa-mir-150	1978	1182.560992	N
hsa-mir-151a	2614	1562.797994	N
hsa-mir-151b	7	4.184998	N
hsa-mir-152	287	171.584937	N
hsa-mir-153-1	1	0.597857	N
hsa-mir-153-2	25	14.946423	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	36	21.522849	N
hsa-mir-155	218	130.332809	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	62	37.067129	N
hsa-mir-15b	242	144.681375	N
hsa-mir-16-1	268	160.225655	N
hsa-mir-16-2	268	160.225655	N
hsa-mir-17	389	232.566343	Y
hsa-mir-181a-1	879	525.516235	N
hsa-mir-181a-2	2472	1477.902311	N
hsa-mir-181b-1	116	69.351403	N
hsa-mir-181b-2	111	66.362118	N
hsa-mir-181c	79	47.230697	N
hsa-mir-181d	25	14.946423	N
hsa-mir-182	14050	8399.889755	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3317	1983.091411	N
hsa-mir-184	2	1.195714	N
hsa-mir-185	30	17.935708	N
hsa-mir-186	593	354.529155	N
hsa-mir-187	3	1.793571	N
hsa-mir-188	0	0.000000	N
hsa-mir-18a	5	2.989285	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	3	1.793571	N
hsa-mir-190b	4	2.391428	N
hsa-mir-191	2144	1281.805241	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	212	126.745667	N
hsa-mir-193a	1068	638.511193	N
hsa-mir-193b	127	75.927829	N
hsa-mir-194-1	63	37.664986	N
hsa-mir-194-2	84	50.219981	N
hsa-mir-195	249	148.866374	N
hsa-mir-196a-1	71	42.447841	N
hsa-mir-196a-2	110	65.764261	N
hsa-mir-196b	499	298.330604	N
hsa-mir-197	868	518.939808	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	16	9.565711	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2821	1686.554377	Y
hsa-mir-199a-2	4561	2726.825422	Y
hsa-mir-199b	5865	3506.430848	Y
hsa-mir-19a	10	5.978569	N
hsa-mir-19b-1	105	62.774977	N
hsa-mir-19b-2	87	52.013552	N
hsa-mir-200a	332	198.488498	N
hsa-mir-200b	545	325.832023	N
hsa-mir-200c	15527	9282.924429	N
hsa-mir-202	1	0.597857	N
hsa-mir-203a	4073	2435.071244	N
hsa-mir-203b	16	9.565711	N
hsa-mir-204	116	69.351403	N
hsa-mir-205	39706	23738.506948	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	1.793571	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	139	83.102112	N
hsa-mir-20b	3	1.793571	N
hsa-mir-21	33316	19918.201216	N
hsa-mir-210	55	32.882131	N
hsa-mir-211	1	0.597857	N
hsa-mir-2110	5	2.989285	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	4	2.391428	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	3	1.793571	N
hsa-mir-214	50	29.892846	N
hsa-mir-215	7	4.184998	N
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	17	10.163568	N
hsa-mir-218-1	41	24.512134	N
hsa-mir-218-2	45	26.903561	N
hsa-mir-219a-1	4	2.391428	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	56207	33603.744019	N
hsa-mir-221	132	78.917114	N
hsa-mir-222	93	55.600694	N
hsa-mir-223	130	77.721400	N
hsa-mir-224	61	36.469272	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	1	0.597857	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	46	27.501418	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5372	3211.687385	Y
hsa-mir-23b	1588	949.396792	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	1062	634.924051	N
hsa-mir-24-2	983	587.693354	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	15072	9010.899530	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	2563	1532.307291	N
hsa-mir-26a-2	2530	1512.578013	N
hsa-mir-26b	1551	927.276086	N
hsa-mir-27a	755	451.381976	Y
hsa-mir-27b	722	431.652698	Y
hsa-mir-28	14348	8578.051118	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	35	20.924992	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	22	13.152852	N
hsa-mir-29a	10155	6071.237044	N
hsa-mir-29b-1	169	101.037820	N
hsa-mir-29b-2	263	157.236371	N
hsa-mir-29c	1611	963.147501	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	5	2.989285	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.597857	N
hsa-mir-3065	32	19.131422	N
hsa-mir-3074	17	10.163568	N
hsa-mir-30a	115630	69130.195900	Y
hsa-mir-30b	1571	939.233225	Y
hsa-mir-30c-1	1147	685.741890	Y
hsa-mir-30c-2	1448	865.696823	Y
hsa-mir-30d	11382	6804.807487	N
hsa-mir-30e	23800	14228.994745	Y
hsa-mir-31	24	14.348566	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	4	2.391428	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	3	1.793571	N
hsa-mir-3130-2	11	6.576426	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	1	0.597857	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	8	4.782855	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
