miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	191274	18166.325103	N
hsa-let-7a-2	191546	18192.158413	Y
hsa-let-7a-3	192134	18248.003949	N
hsa-let-7b	430710	40906.855533	N
hsa-let-7c	116423	11057.321264	Y
hsa-let-7d	4655	442.110498	N
hsa-let-7e	11604	1102.094569	N
hsa-let-7f-1	37858	3595.578781	N
hsa-let-7f-2	38228	3630.719680	N
hsa-let-7g	4539	431.093351	N
hsa-let-7i	7628	724.472369	N
hsa-mir-1-1	32	3.039213	N
hsa-mir-1-2	41	3.893991	N
hsa-mir-100	207840	19739.687618	Y
hsa-mir-101-1	141090	13400.079513	N
hsa-mir-101-2	141861	13473.305549	N
hsa-mir-103a-1	92083	8745.619972	Y
hsa-mir-103a-2	92889	8822.170146	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.094975	N
hsa-mir-106a	45	4.273893	Y
hsa-mir-106b	3988	378.761904	N
hsa-mir-107	559	53.091250	Y
hsa-mir-10a	378197	35919.412231	N
hsa-mir-10b	1724337	163769.600311	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.284926	N
hsa-mir-1180	180	17.095572	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.284926	N
hsa-mir-1185-2	1	0.094975	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.189951	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.329656	N
hsa-mir-1227	1	0.094975	N
hsa-mir-1228	19	1.804533	N
hsa-mir-1229	5	0.474877	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.094975	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.284926	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.094975	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.189951	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	25	2.374385	N
hsa-mir-1245b	2	0.189951	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1037	98.489492	N
hsa-mir-1248	3	0.284926	N
hsa-mir-1249	17	1.614582	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.094975	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.284926	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	15	1.424631	N
hsa-mir-125a	17857	1695.975759	N
hsa-mir-125b-1	20546	1951.364616	N
hsa-mir-125b-2	21535	2045.295289	N
hsa-mir-126	42182	4006.252421	N
hsa-mir-1260a	1	0.094975	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.804533	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	27	2.564336	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	165	15.670941	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	12099	1149.107393	N
hsa-mir-1270	13	1.234680	N
hsa-mir-1271	58	5.508573	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.094975	N
hsa-mir-1276	1	0.094975	N
hsa-mir-1277	2	0.189951	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	887	84.243182	N
hsa-mir-128-2	604	57.365143	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.189951	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	637	60.499331	N
hsa-mir-1288	4	0.379902	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	16	1.519606	N
hsa-mir-129-2	31	2.944237	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.189951	N
hsa-mir-1292	2	0.189951	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.094975	N
hsa-mir-1295a	32	3.039213	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	37	3.514090	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.094975	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	41	3.893991	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.379902	N
hsa-mir-1305	2	0.189951	N
hsa-mir-1306	92	8.737737	N
hsa-mir-1307	5634	535.091417	N
hsa-mir-130a	1315	124.892654	N
hsa-mir-130b	93	8.832712	N
hsa-mir-132	1211	115.015212	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	6	0.569852	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	36	3.419114	N
hsa-mir-133a-2	30	2.849262	Y
hsa-mir-133b	1	0.094975	Y
hsa-mir-134	3278	311.329369	N
hsa-mir-1343	12	1.139705	N
hsa-mir-135a-1	10	0.949754	N
hsa-mir-135a-2	6	0.569852	N
hsa-mir-135b	46	4.368869	N
hsa-mir-136	571	54.230955	N
hsa-mir-137	1	0.094975	N
hsa-mir-138-1	1	0.094975	N
hsa-mir-138-2	6	0.569852	N
hsa-mir-139	5691	540.505015	N
hsa-mir-140	27514	2613.153219	N
hsa-mir-141	6247	593.311338	N
hsa-mir-142	11498	1092.027176	N
hsa-mir-143	968761	92008.465727	N
hsa-mir-144	2190	207.996131	N
hsa-mir-145	45737	4343.889976	N
hsa-mir-1468	163	15.480991	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1455	138.189210	N
hsa-mir-146b	6890	654.380522	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.094975	N
hsa-mir-148a	379376	36031.388231	N
hsa-mir-148b	980	93.075894	N
hsa-mir-149	286	27.162965	N
hsa-mir-150	15225	1446.000500	N
hsa-mir-151a	15023	1426.815469	N
hsa-mir-151b	32	3.039213	N
hsa-mir-152	3497	332.128982	N
hsa-mir-153-1	5	0.474877	N
hsa-mir-153-2	363	34.476071	N
hsa-mir-1537	1	0.094975	N
hsa-mir-1538	4	0.379902	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	98	9.307589	N
hsa-mir-155	1334	126.697187	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	965	91.651263	N
hsa-mir-15b	615	58.409872	N
hsa-mir-16-1	1308	124.227826	N
hsa-mir-16-2	1302	123.657974	N
hsa-mir-17	6177	586.663060	Y
hsa-mir-181a-1	16175	1536.227133	N
hsa-mir-181a-2	23576	2239.140085	N
hsa-mir-181b-1	1862	176.844199	N
hsa-mir-181b-2	1792	170.195921	N
hsa-mir-181c	1943	184.537207	N
hsa-mir-181d	439	41.694202	N
hsa-mir-182	36240	3441.908580	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	10173	966.184768	N
hsa-mir-184	5	0.474877	N
hsa-mir-185	638	60.594307	N
hsa-mir-186	2800	265.931126	N
hsa-mir-187	62	5.888475	N
hsa-mir-188	15	1.424631	N
hsa-mir-18a	26	2.469360	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	89	8.452811	N
hsa-mir-190b	26	2.469360	N
hsa-mir-191	3742	355.397955	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.094975	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2395	227.466089	Y
hsa-mir-193a	18716	1777.559630	N
hsa-mir-193b	1197	113.685557	N
hsa-mir-194-1	631	59.929479	N
hsa-mir-194-2	657	62.398839	N
hsa-mir-195	1329	126.222310	N
hsa-mir-196a-1	310	29.442375	N
hsa-mir-196a-2	406	38.560013	N
hsa-mir-196b	4892	464.619668	N
hsa-mir-197	5373	510.302837	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	110	10.447294	N
