miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.188343	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	114	21.471134	N
hsa-mir-1307	5818	1095.781223	N
hsa-mir-130a	615	115.831119	N
hsa-mir-130b	55	10.358881	N
hsa-mir-132	460	86.637910	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.376687	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	37	6.968701	Y
hsa-mir-133a-2	31	5.838642	Y
hsa-mir-133b	7	1.318403	Y
hsa-mir-134	2925	550.904104	N
hsa-mir-1343	18	3.390179	N
hsa-mir-135a-1	1	0.188343	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	7	1.318403	N
hsa-mir-136	138	25.991373	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.188343	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	3195	601.756791	N
hsa-mir-140	7903	1488.476970	N
hsa-mir-141	731	137.678940	N
hsa-mir-142	3017	568.231686	N
hsa-mir-143	494241	93086.972785	N
hsa-mir-144	2044	384.973671	N
hsa-mir-145	67458	12705.261219	N
hsa-mir-1468	41	7.722075	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	346	65.166776	N
hsa-mir-146b	1348	253.886746	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.188343	N
hsa-mir-148a	80632	15186.495636	N
hsa-mir-148b	430	80.987612	N
hsa-mir-149	542	102.082060	N
hsa-mir-150	6678	1257.756447	N
hsa-mir-151a	6637	1250.034373	N
hsa-mir-151b	13	2.448463	N
hsa-mir-152	1982	373.296388	N
hsa-mir-153-1	5	0.941716	N
hsa-mir-153-2	110	20.717761	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	50	9.417164	N
hsa-mir-155	606	114.136030	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	551	103.777149	N
hsa-mir-15b	602	113.382657	N
hsa-mir-16-1	1000	188.343284	N
hsa-mir-16-2	1149	216.406433	N
hsa-mir-17	1380	259.913731	Y
hsa-mir-181a-1	3031	570.868492	N
hsa-mir-181a-2	6546	1232.895134	N
hsa-mir-181b-1	339	63.848373	N
hsa-mir-181b-2	319	60.081507	N
hsa-mir-181c	272	51.229373	N
hsa-mir-181d	36	6.780358	N
hsa-mir-182	15853	2985.806073	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3228	607.972119	N
hsa-mir-184	5	0.941716	N
hsa-mir-185	217	40.870493	N
hsa-mir-186	1510	284.398358	N
hsa-mir-187	17	3.201836	N
hsa-mir-188	7	1.318403	N
hsa-mir-18a	20	3.766866	Y
hsa-mir-18b	4	0.753373	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	52	9.793851	N
hsa-mir-190b	3	0.565030	N
hsa-mir-191	2510	472.741642	N
hsa-mir-1910	1	0.188343	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	2	0.376687	N
hsa-mir-1914	1	0.188343	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	520	97.938507	Y
hsa-mir-193a	8168	1538.387940	N
hsa-mir-193b	1848	348.058388	N
hsa-mir-194-1	195	36.726940	N
hsa-mir-194-2	208	39.175403	N
hsa-mir-195	535	100.763657	N
hsa-mir-196a-1	130	24.484627	N
hsa-mir-196a-2	144	27.121433	N
hsa-mir-196b	1327	249.931537	N
hsa-mir-197	4227	796.127059	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	1	0.188343	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	35	6.592015	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	9609	1809.790611	Y
hsa-mir-199a-2	15549	2928.549715	Y
hsa-mir-199b	21672	4081.775640	Y
hsa-mir-19a	42	7.910418	N
hsa-mir-19b-1	170	32.018358	N
hsa-mir-19b-2	147	27.686463	N
hsa-mir-200a	442	83.247731	N
hsa-mir-200b	562	105.848925	N
hsa-mir-200c	7038	1325.560029	N
hsa-mir-202	7	1.318403	N
hsa-mir-203a	2900	546.195522	N
hsa-mir-203b	21	3.955209	N
hsa-mir-204	145	27.309776	N
hsa-mir-205	28962	5454.798177	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	4	0.753373	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	599	112.817627	N
hsa-mir-20b	80	15.067463	N
hsa-mir-21	197643	37224.731583	N
hsa-mir-210	556	104.718866	N
hsa-mir-211	7	1.318403	N
hsa-mir-2110	7	1.318403	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	8	1.506746	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	17	3.201836	N
hsa-mir-214	223	42.000552	N
hsa-mir-215	82	15.444149	Y
hsa-mir-216a	2	0.376687	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	144	27.121433	N
hsa-mir-218-1	215	40.493806	N
hsa-mir-218-2	216	40.682149	N
hsa-mir-219a-1	3	0.565030	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	973342	183322.428257	N
hsa-mir-221	674	126.943373	N
hsa-mir-222	276	51.982746	N
hsa-mir-223	1627	306.434522	N
hsa-mir-224	1282	241.456089	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	11	2.071776	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	518	97.561821	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	31083	5854.274281	Y
hsa-mir-23b	4465	840.952761	Y
hsa-mir-23c	1	0.188343	N
hsa-mir-24-1	4420	832.477313	N
hsa-mir-24-2	4793	902.729358	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	42099	7929.063892	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	5799	1092.202701	N
hsa-mir-26a-2	5889	1109.153597	N
hsa-mir-26b	5300	998.219403	N
hsa-mir-27a	10631	2002.277447	Y
hsa-mir-27b	4572	861.105492	Y
hsa-mir-28	33143	6242.261445	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	69	12.995687	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	34	6.403672	N
hsa-mir-29a	39452	7430.519221	N
hsa-mir-29b-1	1527	287.600194	Y
hsa-mir-29b-2	2051	386.292074	Y
hsa-mir-29c	13928	2623.245253	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	29	5.461955	N
hsa-mir-301b	1	0.188343	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.188343	N
hsa-mir-3065	31	5.838642	N
hsa-mir-3074	69	12.995687	N
hsa-mir-30a	280331	52798.461009	Y
hsa-mir-30b	2765	520.769179	Y
hsa-mir-30c-1	2128	400.794507	Y
hsa-mir-30c-2	2359	444.301806	Y
hsa-mir-30d	30607	5764.622878	N
hsa-mir-30e	63070	11878.810891	Y
hsa-mir-31	9	1.695090	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	15	2.825149	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	19	3.578522	N
hsa-mir-3130-1	14	2.636806	N
hsa-mir-3130-2	13	2.448463	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	1	0.188343	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	1	0.188343	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	2	0.376687	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	1	0.188343	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.188343	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
