miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	25	6.354253	N
hsa-mir-1307	1591	404.384638	N
hsa-mir-130a	703	178.681584	N
hsa-mir-130b	20	5.083402	N
hsa-mir-132	335	85.146985	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	1.525021	N
hsa-mir-133a-2	9	2.287531	Y
hsa-mir-133b	1	0.254170	Y
hsa-mir-134	1452	369.054993	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	2	0.508340	N
hsa-mir-135a-2	3	0.762510	N
hsa-mir-135b	17	4.320892	N
hsa-mir-136	252	64.050867	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	4	1.016680	N
hsa-mir-138-2	5	1.270851	N
hsa-mir-139	915	232.565646	N
hsa-mir-140	4429	1125.719397	N
hsa-mir-141	2911	739.889177	N
hsa-mir-142	4021	1022.017994	N
hsa-mir-143	288128	73233.524122	N
hsa-mir-144	222	56.425763	N
hsa-mir-145	18706	4754.505991	N
hsa-mir-1468	72	18.300248	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	396	100.651362	N
hsa-mir-146b	2587	657.538063	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.254170	N
hsa-mir-148a	207407	52716.659046	N
hsa-mir-148b	423	107.513955	N
hsa-mir-149	133	33.804624	N
hsa-mir-150	2616	664.908996	N
hsa-mir-151a	6484	1648.038963	N
hsa-mir-151b	19	4.829232	N
hsa-mir-152	882	224.178033	N
hsa-mir-153-1	5	1.270851	N
hsa-mir-153-2	188	47.783980	N
hsa-mir-1537	1	0.254170	N
hsa-mir-1538	2	0.508340	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	53	13.471016	N
hsa-mir-155	586	148.943682	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	269	68.371758	N
hsa-mir-15b	186	47.275640	N
hsa-mir-16-1	410	104.209743	N
hsa-mir-16-2	421	107.005614	N
hsa-mir-17	1429	363.209081	Y
hsa-mir-181a-1	3093	786.148136	N
hsa-mir-181a-2	5468	1389.802136	N
hsa-mir-181b-1	371	94.297109	N
hsa-mir-181b-2	375	95.313790	N
hsa-mir-181c	397	100.905532	N
hsa-mir-181d	84	21.350289	N
hsa-mir-182	55641	14142.278833	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	12824	3259.477431	N
hsa-mir-184	4	1.016680	N
hsa-mir-185	106	26.942031	N
hsa-mir-186	1352	343.637982	N
hsa-mir-187	12	3.050041	N
hsa-mir-188	2	0.508340	N
hsa-mir-18a	10	2.541701	Y
hsa-mir-18b	2	0.508340	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	18	4.575062	N
hsa-mir-190b	4	1.016680	N
hsa-mir-191	1927	489.785793	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.254170	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	827	210.198677	Y
hsa-mir-193a	2799	711.422125	N
hsa-mir-193b	243	61.763336	N
hsa-mir-194-1	214	54.392403	N
hsa-mir-194-2	204	51.850701	N
hsa-mir-195	491	124.797522	N
hsa-mir-196a-1	251	63.796696	N
hsa-mir-196a-2	316	80.317753	N
hsa-mir-196b	1797	456.743679	N
hsa-mir-197	881	223.923863	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	40	10.166804	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	9950	2528.992548	Y
hsa-mir-199a-2	16785	4266.245219	Y
hsa-mir-199b	22048	5603.942483	Y
hsa-mir-19a	84	21.350289	N
hsa-mir-19b-1	279	70.913459	N
hsa-mir-19b-2	303	77.013542	N
hsa-mir-200a	1363	346.433854	N
hsa-mir-200b	1501	381.509328	N
hsa-mir-200c	24884	6324.768902	N
hsa-mir-202	21	5.337572	N
hsa-mir-203a	14212	3612.265538	N
hsa-mir-203b	86	21.858629	N
hsa-mir-204	72	18.300248	N
hsa-mir-205	28548	7256.048168	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	674	171.310651	N
hsa-mir-20b	15	3.812552	N
hsa-mir-21	250768	63737.728985	N
hsa-mir-210	440	111.834846	N
hsa-mir-211	2	0.508340	N
hsa-mir-2110	5	1.270851	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	17	4.320892	N
hsa-mir-2116	3	0.762510	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	7	1.779191	N
hsa-mir-214	122	31.008753	N
hsa-mir-215	25	6.354253	Y
hsa-mir-216a	2	0.508340	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	33	8.387613	N
hsa-mir-218-1	125	31.771263	N
hsa-mir-218-2	126	32.025433	N
hsa-mir-219a-1	11	2.795871	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	232975	59215.280300	N
hsa-mir-221	279	70.913459	N
hsa-mir-222	143	36.346325	N
hsa-mir-223	492	125.051692	N
hsa-mir-224	109	27.704541	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	1	0.254170	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	215	54.646573	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	13894	3531.439444	Y
hsa-mir-23b	2785	707.863743	Y
hsa-mir-23c	1	0.254170	N
hsa-mir-24-1	1616	410.738890	N
hsa-mir-24-2	1625	413.026421	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	29818	7578.844202	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	4644	1180.365969	N
hsa-mir-26a-2	4804	1221.033186	N
hsa-mir-26b	2903	737.855816	N
hsa-mir-27a	2901	737.347476	Y
hsa-mir-27b	1841	467.927164	Y
hsa-mir-28	26552	6748.724638	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	37	9.404294	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	22	5.591742	N
hsa-mir-29a	26436	6719.240906	N
hsa-mir-29b-1	1007	255.949296	Y
hsa-mir-29b-2	1104	280.603796	Y
hsa-mir-29c	7506	1907.800811	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	15	3.812552	N
hsa-mir-301b	1	0.254170	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	79	20.079438	N
hsa-mir-3074	40	10.166804	N
hsa-mir-30a	436869	111039.039766	Y
hsa-mir-30b	2447	621.954248	Y
hsa-mir-30c-1	2225	565.528484	Y
hsa-mir-30c-2	2627	667.704867	Y
hsa-mir-30d	47260	12012.079180	N
hsa-mir-30e	79606	20233.465409	Y
hsa-mir-31	51	12.962675	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	2	0.508340	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	1	0.254170	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	11	2.795871	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	4	1.016680	N
hsa-mir-3130-1	11	2.795871	N
hsa-mir-3130-2	13	3.304211	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	1	0.254170	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.254170	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	0.254170	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	3	0.762510	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	1	0.254170	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.254170	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
