miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.202340	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	2	0.202340	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	591	59.791525	N
hsa-mir-128-2	382	38.646975	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.101170	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.101170	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	483	48.865155	N
hsa-mir-1288	2	0.202340	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.708191	N
hsa-mir-129-2	11	1.112871	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.101170	N
hsa-mir-1292	2	0.202340	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.303510	N
hsa-mir-1295a	18	1.821062	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	67	6.778396	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.101170	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	41	4.147974	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.101170	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	39	3.945634	N
hsa-mir-1307	4071	411.863448	N
hsa-mir-130a	709	71.729596	N
hsa-mir-130b	55	5.564355	N
hsa-mir-132	934	94.492867	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	35	3.540953	Y
hsa-mir-133a-2	23	2.326912	Y
hsa-mir-133b	11	1.112871	Y
hsa-mir-134	4735	479.040390	N
hsa-mir-1343	5	0.505850	N
hsa-mir-135a-1	6	0.607021	N
hsa-mir-135a-2	10	1.011701	N
hsa-mir-135b	31	3.136273	N
hsa-mir-136	164	16.591895	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	7	0.708191	N
hsa-mir-138-2	1	0.101170	N
hsa-mir-139	4146	419.451205	N
hsa-mir-140	20657	2089.870607	N
hsa-mir-141	3829	387.380285	N
hsa-mir-142	1851	187.265842	N
hsa-mir-143	1595868	161454.113697	N
hsa-mir-144	2239	226.519838	N
hsa-mir-145	54340	5497.582844	N
hsa-mir-1468	136	13.759133	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	859	86.905110	N
hsa-mir-146b	2348	237.547378	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	259673	26271.141514	N
hsa-mir-148b	726	73.449487	N
hsa-mir-149	1040	105.216897	N
hsa-mir-150	9567	967.894278	N
hsa-mir-151a	24848	2513.874467	N
hsa-mir-151b	59	5.969035	N
hsa-mir-152	5062	512.123010	N
hsa-mir-153-1	7	0.708191	N
hsa-mir-153-2	66	6.677226	N
hsa-mir-1537	1	0.101170	N
hsa-mir-1538	1	0.101170	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	110	11.128710	N
hsa-mir-155	2254	228.037389	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	637	64.445349	N
hsa-mir-15b	1704	172.393838	N
hsa-mir-16-1	1217	123.124003	N
hsa-mir-16-2	1380	139.614728	N
hsa-mir-17	2746	277.813075	Y
hsa-mir-181a-1	5683	574.949638	N
hsa-mir-181a-2	12291	1243.481611	N
hsa-mir-181b-1	789	79.823203	N
hsa-mir-181b-2	807	81.644265	N
hsa-mir-181c	610	61.713757	N
hsa-mir-181d	183	18.514127	N
hsa-mir-182	56898	5756.375942	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	10965	1109.330068	N
hsa-mir-184	6	0.607021	N
hsa-mir-185	301	30.452198	N
hsa-mir-186	1829	185.040100	N
hsa-mir-187	33	3.338613	N
hsa-mir-188	4	0.404680	N
hsa-mir-18a	22	2.225742	N
hsa-mir-18b	2	0.202340	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	108	10.926370	N
hsa-mir-190b	16	1.618721	N
hsa-mir-191	3067	310.288675	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.101170	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	936	94.695207	Y
hsa-mir-193a	9697	981.046390	N
hsa-mir-193b	570	57.666953	N
hsa-mir-194-1	515	52.102598	N
hsa-mir-194-2	525	53.114299	N
hsa-mir-195	2220	224.597606	N
hsa-mir-196a-1	645	65.254710	N
hsa-mir-196a-2	832	84.173517	N
hsa-mir-196b	1269	128.384848	N
hsa-mir-197	3526	356.725747	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	60	6.070206	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	16752	1694.801395	Y
hsa-mir-199a-2	28466	2879.907862	Y
hsa-mir-199b	40913	4139.172008	Y
hsa-mir-19a	53	5.362015	N
hsa-mir-19b-1	433	43.806650	N
hsa-mir-19b-2	384	38.849316	N
hsa-mir-200a	1475	149.225887	N
hsa-mir-200b	2123	214.784107	N
hsa-mir-200c	41467	4195.220239	N
hsa-mir-202	40	4.046804	N
hsa-mir-203a	12275	1241.862889	N
hsa-mir-203b	55	5.564355	N
hsa-mir-204	277	28.024116	N
hsa-mir-205	48940	4951.264343	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.101170	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1113	112.602313	N
hsa-mir-20b	35	3.540953	N
hsa-mir-21	527865	53404.151049	N
hsa-mir-210	89	9.004138	N
hsa-mir-211	1	0.101170	N
hsa-mir-2110	16	1.618721	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	5	0.505850	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	41	4.147974	N
hsa-mir-214	379	38.343465	N
hsa-mir-215	120	12.140411	Y
hsa-mir-216a	3	0.303510	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	149	15.074344	N
hsa-mir-218-1	1115	112.804654	N
hsa-mir-218-2	1008	101.979454	N
hsa-mir-219a-1	14	1.416381	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	3	0.303510	N
hsa-mir-22	816494	82604.773772	N
hsa-mir-221	2485	251.407681	N
hsa-mir-222	404	40.872718	N
hsa-mir-223	2746	277.813075	N
hsa-mir-224	402	40.670377	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	5	0.505850	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	408	41.277398	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	52477	5309.102961	Y
hsa-mir-23b	11843	1198.157409	Y
hsa-mir-23c	1	0.101170	N
hsa-mir-24-1	9426	953.629295	N
hsa-mir-24-2	9349	945.839198	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	110002	11128.912551	N
hsa-mir-2681	1	0.101170	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	24842	2513.267446	N
hsa-mir-26a-2	24898	2518.932971	N
hsa-mir-26b	9810	992.478611	N
hsa-mir-27a	14748	1492.056529	Y
hsa-mir-27b	15259	1543.754446	Y
hsa-mir-28	72353	7319.959726	N
hsa-mir-2861	1	0.101170	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	51	5.159675	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	93	9.408819	N
hsa-mir-29a	189318	19153.319634	N
hsa-mir-29b-1	2443	247.158537	Y
hsa-mir-29b-2	2804	283.680940	Y
hsa-mir-29c	52550	5316.488378	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	15	1.517551	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.101170	N
hsa-mir-3065	196	19.829338	N
hsa-mir-3074	45	4.552654	N
hsa-mir-30a	619663	62691.363231	Y
hsa-mir-30b	7402	748.861027	Y
hsa-mir-30c-1	3530	357.130428	Y
hsa-mir-30c-2	4868	492.496012	Y
hsa-mir-30d	63369	6411.047612	N
hsa-mir-30e	162283	16418.186174	Y
hsa-mir-31	54	5.463185	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	3	0.303510	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	1	0.101170	N
hsa-mir-3127	24	2.428082	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	9	0.910531	N
hsa-mir-3130-1	34	3.439783	N
hsa-mir-3130-2	24	2.428082	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	1	0.101170	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	1	0.101170	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	0.101170	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	1	0.101170	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	3	0.303510	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	2	0.202340	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.101170	N
hsa-mir-3155a	2	0.202340	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	4	0.404680	N
hsa-mir-3158-1	2	0.202340	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	1	0.101170	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	2	0.202340	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	4	0.404680	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	4	0.404680	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	2	0.202340	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	0	0.000000	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	1	0.101170	N
hsa-mir-3191	1	0.101170	N
hsa-mir-3192	1	0.101170	N
hsa-mir-3193	7	0.708191	N
hsa-mir-3194	0	0.000000	N
hsa-mir-3195	3	0.303510	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	8	0.809361	N
hsa-mir-3199-2	37	3.743293	N
hsa-mir-32	242	24.483162	N
hsa-mir-3200	6	0.607021	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	1	0.101170	N
hsa-mir-320a	7486	757.359315	Y
hsa-mir-320b-1	17	1.719892	Y
hsa-mir-320b-2	12	1.214041	Y
hsa-mir-320c-1	12	1.214041	N
hsa-mir-320c-2	3	0.303510	N
hsa-mir-320d-1	8	0.809361	N
hsa-mir-320d-2	9	0.910531	N
hsa-mir-320e	1	0.101170	N
hsa-mir-323a	18	1.821062	N
hsa-mir-323b	2	0.202340	N
hsa-mir-324	128	12.949772	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	147	14.872004	N
hsa-mir-328	495	50.079196	N
hsa-mir-329-1	12	1.214041	N
hsa-mir-329-2	15	1.517551	N
hsa-mir-330	284	28.732306	N
hsa-mir-331	64	6.474886	N
hsa-mir-335	3371	341.044383	N
hsa-mir-337	1078	109.061360	N
hsa-mir-338	3952	399.824207	N
hsa-mir-339	282	28.529966	N
hsa-mir-33a	40	4.046804	N
hsa-mir-33b	5	0.505850	N
hsa-mir-340	106	10.724030	N
hsa-mir-342	870	88.017981	N
hsa-mir-345	26	2.630422	N
hsa-mir-346	6	0.607021	N
hsa-mir-34a	1589	160.759277	N
