miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	1.332302	N
hsa-mir-1227	3	1.332302	N
hsa-mir-1228	3	1.332302	N
hsa-mir-1229	1	0.444101	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	5.773311	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	171	75.941238	N
hsa-mir-1248	5	2.220504	N
hsa-mir-1249	6	2.664605	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.888202	N
hsa-mir-1254-2	1	0.444101	N
hsa-mir-1255a	2	0.888202	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	13	5.773311	N
hsa-mir-125a	2805	1245.702770	N
hsa-mir-125b-1	2389	1060.956833	N
hsa-mir-125b-2	2332	1035.643087	N
hsa-mir-126	11619	5160.007301	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	2.664605	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	17	7.549714	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.888202	N
hsa-mir-1269b	1	0.444101	N
hsa-mir-127	5075	2253.811606	N
hsa-mir-1270	5	2.220504	N
hsa-mir-1271	12	5.329210	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.888202	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	123	54.624400	N
hsa-mir-128-2	91	40.413174	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.444101	N
hsa-mir-1285-1	1	0.444101	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	109	48.406988	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	11	4.885109	N
hsa-mir-129-2	10	4.441008	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.888202	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.444101	N
hsa-mir-1295b	1	0.444101	N
hsa-mir-1296	14	6.217411	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	19	8.437915	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.444101	N
hsa-mir-1304	25	11.102520	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	21	9.326117	N
hsa-mir-1307	1794	796.716852	N
hsa-mir-130a	199	88.376061	N
hsa-mir-130b	34	15.099428	N
hsa-mir-132	196	87.043759	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	3.108706	N
hsa-mir-133a-2	11	4.885109	Y
hsa-mir-133b	1	0.444101	Y
hsa-mir-134	2645	1174.646640	N
hsa-mir-1343	1	0.444101	N
hsa-mir-135a-1	2	0.888202	N
hsa-mir-135a-2	1	0.444101	N
hsa-mir-135b	32	14.211226	N
hsa-mir-136	133	59.065408	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	2	0.888202	N
hsa-mir-138-2	2	0.888202	N
hsa-mir-139	591	262.463578	N
hsa-mir-140	3470	1541.029808	N
hsa-mir-141	1206	535.585576	N
hsa-mir-142	15393	6836.043755	N
hsa-mir-143	122263	54297.097224	N
hsa-mir-144	156	69.279726	N
hsa-mir-145	7655	3399.591694	N
hsa-mir-1468	39	17.319932	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	891	395.693821	N
hsa-mir-146b	2185	970.360268	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.444101	N
hsa-mir-148a	146826	65205.545398	N
hsa-mir-148b	224	99.478581	N
hsa-mir-149	127	56.400803	N
hsa-mir-150	10226	4541.374874	N
hsa-mir-151a	3775	1676.480554	N
hsa-mir-151b	1	0.444101	N
hsa-mir-152	653	289.997828	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	81	35.972166	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	4	1.776403	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	23	10.214319	N
hsa-mir-155	1985	881.540106	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	174	77.273541	N
hsa-mir-15b	143	63.506416	N
hsa-mir-16-1	341	151.438376	N
hsa-mir-16-2	353	156.767586	N
hsa-mir-17	930	413.013752	Y
hsa-mir-181a-1	2848	1264.799104	N
hsa-mir-181a-2	4236	1881.211027	N
hsa-mir-181b-1	376	166.981904	N
hsa-mir-181b-2	368	163.429098	N
hsa-mir-181c	220	97.702178	N
hsa-mir-181d	57	25.313746	N
hsa-mir-182	18137	8054.656375	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	5480	2433.672434	N
hsa-mir-184	4	1.776403	N
hsa-mir-185	117	51.959795	N
hsa-mir-186	662	293.994736	N
hsa-mir-187	10	4.441008	N
hsa-mir-188	10	4.441008	N
hsa-mir-18a	16	7.105613	N
hsa-mir-18b	1	0.444101	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	13	5.773311	N
hsa-mir-190b	1	0.444101	N
hsa-mir-191	860	381.926696	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	551	244.699546	Y
hsa-mir-193a	1586	704.343883	N
hsa-mir-193b	143	63.506416	N
hsa-mir-194-1	141	62.618214	N
hsa-mir-194-2	154	68.391525	N
hsa-mir-195	162	71.944331	N
hsa-mir-196a-1	105	46.630585	N
hsa-mir-196a-2	153	67.947424	N
hsa-mir-196b	791	351.283740	N
hsa-mir-197	748	332.187405	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	41	18.208133	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	5504	2444.330853	Y
hsa-mir-199a-2	9572	4250.932945	Y
hsa-mir-199b	13018	5781.304333	Y
hsa-mir-19a	42	18.652234	N
hsa-mir-19b-1	89	39.524972	N
hsa-mir-19b-2	94	41.745476	N
hsa-mir-200a	943	418.787063	N
hsa-mir-200b	527	234.041126	N
hsa-mir-200c	9542	4237.609921	N
hsa-mir-202	4	1.776403	N
hsa-mir-203a	3454	1533.924195	N
