"","Row.names","TCGA-AO-A126","TCGA-A2-A0CZ","TCGA-AC-A23G","TCGA-AN-A0XL","TCGA-EW-A3E8","TCGA-B6-A402","TCGA-EW-A1PF","TCGA-AC-A2QI","TCGA-E2-A10F","TCGA-A8-A06N","TCGA-A7-A5ZV","TCGA-LL-A441","TCGA-A7-A3J0","TCGA-AC-A2FM","TCGA-AO-A0JL","TCGA-D8-A1XD","TCGA-E2-A15F","TCGA-E2-A14U","TCGA-B6-A0IQ","TCGA-E2-A108","TCGA-A2-A4RY","TCGA-A8-A07C","TCGA-A2-A0CY","TCGA-A8-A08I","TCGA-E9-A54X","y"
"1","ENSG00000000003",2371,3524,1359,3219,2550,2477,881,2937,1361,3288,3723,5199,303,453,5338,2846,4115,6955,9157,1965,2037,5017,3166,6095,1225,"TSPAN6"
"2","ENSG00000000005",2,70,7,267,346,1,46,4,45,2,1,69,9,74,5,0,7,18,11,363,55,4,0,7,1,"TNMD"
"3","ENSG00000000419",1383,1032,623,2212,2311,3558,2824,1791,1686,3370,2972,4356,1955,2381,1149,2802,3883,1816,3136,2007,1136,6617,1259,4129,1259,"DPM1"
"4","ENSG00000000457",1502,978,891,2562,1955,1689,1820,3135,2067,4290,715,3170,2390,1759,921,1310,1289,2030,1807,1079,1397,2170,1123,2264,770,"SCYL3"
"5","ENSG00000000460",315,144,352,1001,772,1091,434,675,898,1211,368,1137,550,629,329,448,616,437,2111,457,342,3222,445,1617,207,"C1orf112"
"6","ENSG00000000938",369,467,473,398,971,420,486,629,929,125,161,1380,416,187,177,108,332,919,399,1324,496,537,114,5501,55,"FGR"
"7","ENSG00000000971",3546,3692,2702,8523,2883,695,4310,3786,4536,290,90,3024,831,1103,1261,1783,1220,993,645,6541,2807,5337,470,1911,39,"CFH"
"8","ENSG00000001036",2328,1865,1423,3115,2771,3435,4518,3848,2397,3395,3394,3764,4642,3096,2144,1180,2181,2133,4576,3106,1173,3993,4329,8052,3983,"FUCA2"
"9","ENSG00000001084",1111,1361,665,2185,2386,4023,2589,2006,2276,6603,2103,3503,2996,1668,764,1243,2024,3305,2056,2143,1205,7899,832,8446,1532,"GCLC"
"10","ENSG00000001167",2226,1338,906,3108,2282,4518,3536,2386,3589,3826,2971,10241,3223,2941,3358,4571,2181,2639,10281,1854,1705,11961,1419,5564,2079,"NFYA"
"11","ENSG00000001460",695,597,358,763,699,692,459,855,610,1658,429,864,1353,796,332,765,491,992,919,595,581,976,675,1763,686,"STPG1"
"12","ENSG00000001461",2702,3023,1238,2891,2620,1884,2174,2716,2497,13472,2448,3716,7831,5222,1285,3941,1684,4837,2669,2154,2263,8607,2125,13873,2123,"NIPAL3"
"13","ENSG00000001497",3796,2269,1373,2738,4832,2593,3371,3680,2744,6922,3010,4012,3409,4741,1780,2550,2701,4130,12521,2069,2333,3282,2624,6624,1666,"LAS1L"
"14","ENSG00000001561",466,1092,377,1941,1363,1191,2665,4995,1236,6330,338,1565,5014,951,627,809,998,892,523,1282,628,2129,741,4669,1607,"ENPP4"
"15","ENSG00000001617",4032,1304,3071,9569,9968,1800,9686,11646,9480,18284,677,1904,4236,14633,3503,6989,10581,8104,3005,4330,6179,1259,3011,14978,4248,"SEMA3F"
"16","ENSG00000001626",4,16,38,18,20,1,21,18,6,1,2,62,76,13,0,19,17,388,34,16,39,70,68,48,37,"CFTR"
"17","ENSG00000001629",2889,2967,1843,6009,4062,4841,7460,4251,4697,8688,2850,9442,5878,6291,2817,5880,5740,4036,4964,3693,2614,2897,1142,10862,3989,"ANKIB1"
"18","ENSG00000001630",54,133,207,357,474,294,771,307,308,429,119,395,703,535,31,387,373,312,150,121,239,223,42,574,207,"CYP51A1"
"19","ENSG00000001631",1759,1224,760,3022,2596,2814,2339,1921,2007,4312,995,4701,3057,2589,1178,2384,3258,2249,2745,1683,1827,4272,474,3889,2519,"KRIT1"
"20","ENSG00000002016",482,301,179,598,666,919,410,514,795,1035,426,1238,569,1337,719,683,613,840,883,361,848,891,282,788,333,"RAD52"
"21","ENSG00000002079",13,14,7,9,17,71,10,18,12,23,13,59,29,37,26,34,19,20,35,6,11,25,32,31,4,NA
"22","ENSG00000002330",6732,1674,1274,1984,5146,1528,1680,3705,1830,1511,1888,3320,4413,2507,1219,1433,1892,3490,1918,1217,1696,1955,1110,2465,2918,"BAD"
"23","ENSG00000002549",2682,5941,3013,5205,14622,4349,10921,7098,8690,17088,1944,8107,7998,7446,731,2935,7821,5337,4706,11705,3734,9472,972,44920,2808,"LAP3"
"24","ENSG00000002586",18468,15902,11300,10431,14530,5158,12076,13193,12728,2554,9216,9160,8307,9961,8763,8746,4052,10284,3356,11531,6982,5081,3346,12830,4330,"CD99"
"25","ENSG00000002587",227,243,229,205,344,247,313,283,425,66,135,657,368,175,305,40,183,255,330,422,469,679,526,284,59,"HS3ST1"
"26","ENSG00000002726",9,28,65,6,62,20,39,37,40,14,110,306,14,7,7,14,1432,15,96,62,45,54,35,123,4,"AOC1"
"27","ENSG00000002745",29,8,0,3,11,14,1,6,4,1,4,79,2,1,18,1,9,1,6,15,3,14,13,5,9,"WNT16"
"28","ENSG00000002746",143,16,42,10,37,12,49,47,125,2,256,18,37,8,17,122,9,40,66,20,137,27,90,25,1,"HECW1"
"29","ENSG00000002822",2026,1529,913,1589,2599,1023,1519,2171,1281,3445,1971,2427,1611,1894,1235,1026,1145,1870,1765,1330,1262,1125,1177,1535,1175,"MAD1L1"
"30","ENSG00000002834",23327,19595,9542,41292,20233,10436,26000,44909,26222,62199,7127,22661,74042,66357,9026,23626,14547,24629,12685,15654,11307,31686,11456,36959,14987,"LASP1"
"31","ENSG00000002919",1640,1068,551,1703,2141,1218,1925,1990,1506,5218,855,1565,3867,2729,517,1019,1296,1934,1326,1580,1077,2971,845,2684,1014,"SNX11"
"32","ENSG00000002933",1582,1844,2040,1352,2354,4359,1512,3202,1448,219,324,3259,3787,654,1006,712,7276,1686,925,5925,1636,2318,1598,5462,239,"TMEM176A"
"33","ENSG00000003056",1199,3138,1901,4535,4659,2853,4876,4250,6131,14529,3846,7262,6883,7400,388,3517,3863,5533,3155,4212,3085,20005,1516,14771,2553,"M6PR"
"34","ENSG00000003096",67,644,204,917,317,411,1043,305,142,1031,387,785,57,202,622,206,109,2021,8085,628,1835,1828,654,53,79,"KLHL13"
"35","ENSG00000003137",408,381,449,722,433,1329,311,253,169,421,1620,555,425,279,170,183,81,353,249,276,442,100,37,462,33,"CYP26B1"
"36","ENSG00000003147",4940,2112,1222,4920,4244,1822,2951,6218,2655,3403,128,2427,5922,1987,1040,574,1282,5062,1459,1292,2432,1415,2654,1544,3360,"ICA1"
"37","ENSG00000003249",1244,1540,448,575,1248,3615,8914,2832,1510,2999,866,4243,6385,3322,11611,4195,2503,2313,2128,772,1035,1050,10643,4087,5459,"DBNDD1"
"38","ENSG00000003393",1182,1150,801,1862,1859,1248,2255,2020,2221,3934,759,1751,1931,1422,1004,2821,2162,1999,2722,1285,1472,10005,942,3249,1153,"ALS2"
"39","ENSG00000003400",482,451,410,888,924,120,692,749,487,265,110,1107,381,264,292,168,261,318,1830,1274,573,806,81,1558,36,"CASP10"
"40","ENSG00000003402",3203,4160,2117,6424,7622,7151,7252,4690,5460,3457,2153,11055,5766,2767,3431,2549,5244,6596,9162,7108,6529,11073,1266,15763,2296,"CFLAR"
"41","ENSG00000003436",907,1337,947,3119,1163,402,1295,1644,772,212,141,1181,483,490,1338,321,394,727,376,1964,1434,1440,107,369,29,"TFPI"
"42","ENSG00000003509",691,358,277,738,1065,927,649,710,776,909,494,1194,1179,523,517,445,933,787,1088,590,649,3148,515,859,557,"NDUFAF7"
"43","ENSG00000003756",3108,2168,1671,6345,7882,4907,5241,7279,7119,7800,1402,11682,6408,7703,3716,7215,5926,10463,5330,3672,9050,3433,2414,8663,3683,"RBM5"
"44","ENSG00000003987",37,59,35,136,84,35,83,113,66,203,9,105,1044,338,46,355,326,204,63,63,59,650,35,913,481,"MTMR7"
"45","ENSG00000003989",590,4100,2079,4604,11307,38,26150,805,85242,480,32,964,157370,16970,374,10884,20802,7318,151,6786,5678,290,575,34597,68111,"SLC7A2"
"46","ENSG00000004059",15049,5966,4459,7600,11341,10487,8730,10332,5483,6565,7969,12497,8941,9499,11247,5686,5706,10979,22978,5393,5596,9120,9375,11456,12417,"ARF5"
"47","ENSG00000004139",154,513,282,328,555,99,239,1098,508,1481,45,740,3789,259,77,772,181,694,323,503,523,104,1434,3063,789,"SARM1"
"48","ENSG00000004142",7847,5925,3604,4676,10045,4833,4822,7325,6612,17735,4060,6811,13022,12049,5188,4964,8220,7554,7911,5395,4059,9356,21068,12048,4942,"POLDIP2"
"49","ENSG00000004399",12149,12906,8363,14269,12322,6416,18236,28418,12414,16006,11393,8955,9799,17636,5524,30362,11300,8920,13679,21207,7235,6697,2678,20893,2014,"PLXND1"
"50","ENSG00000004455",6811,4252,2518,5778,8640,8497,7573,6973,6119,13295,8669,5522,7674,3638,3158,4592,7022,8397,12125,5337,4541,7440,15783,15213,4875,"AK2"
"51","ENSG00000004468",54,167,16,78,744,66,198,125,91,75,19,1396,463,58,59,33,87,23,451,1139,178,1076,19,3570,3,"CD38"
"52","ENSG00000004478",9747,13146,7254,12749,20569,19171,44858,10056,29189,94785,10034,14611,39912,95515,8331,20985,29217,29174,15076,9673,8956,49734,10566,36889,16138,"FKBP4"
"53","ENSG00000004487",6526,4833,2691,4712,6667,6280,3822,5681,6068,8544,3182,6066,6922,4568,3536,6979,5544,6983,26358,4051,4512,13074,7484,18157,4053,"KDM1A"
"54","ENSG00000004534",3881,1885,1241,6359,5477,5148,4527,4518,4505,4634,709,8607,3814,6622,3842,3666,3939,7310,6799,3556,5868,4301,1899,9351,2713,"RBM6"
"55","ENSG00000004660",398,545,593,594,627,673,545,1385,542,310,106,575,1734,380,442,439,651,1447,561,537,908,514,901,788,321,"CAMKK1"
"56","ENSG00000004700",510,1229,862,1900,1458,944,2545,1693,1591,2435,784,2153,2069,856,248,1913,1702,990,1034,1846,943,4614,278,4816,583,"RECQL"
"57","ENSG00000004766",1470,985,639,3052,2100,1533,2379,2220,1915,6237,689,2935,2129,2479,901,2176,1946,2978,1824,1381,1271,3587,675,4318,1494,"VPS50"
"58","ENSG00000004776",1179,1366,589,2152,2878,4143,464,556,812,32,46,855,52,626,293,109,401,431,140,3963,1042,39,41,94,115,"HSPB6"
"59","ENSG00000004777",1003,245,358,473,2978,2423,972,563,790,1183,274,2281,1354,2782,1217,1736,752,1749,2707,357,1587,1354,274,5271,606,"ARHGAP33"
"60","ENSG00000004779",2695,1825,1325,2533,3965,4693,2893,3722,3144,4702,2661,3027,3449,4182,2984,1642,2122,2990,5703,2192,1019,5473,3202,3766,3427,"NDUFAB1"
"61","ENSG00000004799",1161,9717,1115,9093,4880,234,1816,811,3183,34655,214,2142,1198,1835,719,299,2233,12711,612,8655,4384,2028,210,151,1299,"PDK4"
"62","ENSG00000004809",1,7,2,2,3,73,11,3,7,14,4,30,2,1,32,5,1,9,14,9,6,23,13,6,1,"SLC22A16"
"63","ENSG00000004838",471,25,849,1004,1200,168,774,1565,1449,579,32,214,3097,1015,122,1383,808,1373,122,312,461,58,53,2523,3113,"ZMYND10"
"64","ENSG00000004846",9,36,22,58,30,4,46,150,9,3,1,56,0,9,2,0,6,18,4,155,93,0,0,6,0,"ABCB5"
"65","ENSG00000004848",0,1,0,1,206,1,43,1,0,0,1,2,18,1375,1,1,0,60,2,1,39,3,1,5,3,"ARX"
"66","ENSG00000004864",617,717,638,1341,1274,2646,2253,1034,1093,2256,754,3587,1569,1348,1338,1219,1919,1503,2188,949,895,5104,722,2110,1392,"SLC25A13"
"67","ENSG00000004866",2088,1391,868,1485,2088,1374,1661,1889,1931,2460,1179,2801,5166,1155,1419,1025,1534,1764,2096,1283,934,2460,1040,4319,1452,"ST7"
"68","ENSG00000004897",3523,2560,2074,4880,4188,4530,4906,3504,3966,9893,1793,3505,7453,5337,2261,4549,4536,2917,4334,4259,2169,16128,1641,7888,2946,"CDC27"
"69","ENSG00000004939",5,0,3,0,4,7,2,3,0,523,9,5,8,7,1,14,2,6,4,2,0,4,3,15,2,"SLC4A1"
"70","ENSG00000004948",3,19,7,26,18,0,19,45,23,3,44,14,24,26,1,10,2,317,10,37,28,15,58,1325,2,"CALCR"
"71","ENSG00000004961",877,938,498,1030,1142,939,1379,1223,1145,1754,660,980,1275,1518,565,834,998,1102,1839,1570,739,1363,571,2335,830,"HCCS"
"72","ENSG00000004975",1328,1524,1376,1626,2969,2529,1243,1639,1519,2218,1692,3008,4039,3968,1324,1754,1728,3844,5123,1102,2292,3067,1111,4418,702,"DVL2"
"73","ENSG00000005001",677,372,390,935,2070,1154,1119,1197,788,1498,28,800,675,461,1326,254,534,1271,44,803,822,453,665,179,487,"PRSS22"
"74","ENSG00000005007",7194,6271,4106,7449,12841,9825,11873,11081,7981,21385,5332,11622,16645,8948,4148,7601,9498,12268,15958,7659,8439,14773,12410,16466,5541,"UPF1"
"75","ENSG00000005020",816,2326,1174,2046,1990,288,2232,3030,3112,5540,486,2169,1706,2000,352,1079,923,1151,369,3347,1851,3581,986,4756,351,"SKAP2"
"76","ENSG00000005022",9189,9452,5947,8721,15249,10313,15336,13273,11128,21491,11918,15323,13013,13279,6145,4499,8352,11568,36337,11009,6259,17258,10810,27196,8130,"SLC25A5"
"77","ENSG00000005059",1321,1170,737,951,2368,866,1121,1058,1470,1345,327,2206,782,785,311,969,1827,482,583,1491,644,1977,298,1978,785,"MCUB"
"78","ENSG00000005073",139,80,26,46,59,9,51,73,66,4,63,21,103,9,907,27,7,1,2,41,20,15,16,5,3,"HOXA11"
"79","ENSG00000005075",3440,1445,805,1749,2838,3592,1664,1676,1033,2257,2759,4475,1803,2994,4292,935,1197,1908,4010,972,991,1873,1201,1608,2772,"POLR2J"
"80","ENSG00000005100",981,1138,885,1317,1126,2185,1309,1315,1237,2504,993,1924,2943,2270,1404,2031,2081,2143,3973,1065,1368,4868,1520,4632,524,"DHX33"
"81","ENSG00000005102",227,435,240,1497,1205,83,296,283,105,10,6,595,74,1583,28,8,217,664,615,1208,1024,96,3,143,3,"MEOX1"
"82","ENSG00000005108",417,338,508,853,451,12,671,416,335,174,26,497,187,176,337,204,3228,104,453,1018,390,565,47,238,100,"THSD7A"
"83","ENSG00000005156",1415,1519,948,3538,5343,2910,1768,2942,1263,13215,2224,4492,4942,6375,2651,2616,2798,3135,4210,2299,1970,7316,1042,4814,934,"LIG3"
"84","ENSG00000005175",992,948,697,2226,2002,1639,1898,2202,1771,6442,1016,3296,2142,2414,646,1838,2080,2013,1930,1765,1237,5977,1362,3891,1157,"RPAP3"
"85","ENSG00000005187",87,203,91,178,185,117,275,167,98,324,17,556,130,83,104,82,92,892,2354,187,707,1082,50,1053,50,"ACSM3"
"86","ENSG00000005189",624,109,113,616,593,536,231,318,493,852,409,327,635,1436,246,348,319,760,996,225,277,921,438,2265,346,"REXO5"
"87","ENSG00000005194",1748,1734,934,1420,1995,2447,3167,2013,1870,2764,1919,3103,3255,1846,1258,2369,2923,2482,4087,1735,1229,2972,2643,5394,2136,"CIAPIN1"
"88","ENSG00000005206",3237,2365,1451,3141,7033,3520,2417,3607,2242,4182,1271,9709,3784,3461,4787,2539,1932,4279,3283,1691,3508,1673,1845,3323,1862,"SPPL2B"
"89","ENSG00000005238",1605,1184,903,1103,1789,561,3453,1544,1462,1195,1313,1391,1476,2583,1140,875,902,1550,1815,1160,959,1068,1308,5304,1013,"FAM214B"
"90","ENSG00000005243",2974,1781,1870,1221,1307,690,910,1224,1530,66,1652,767,442,478,363,789,352,490,164,984,709,298,228,287,411,"COPZ2"
"91","ENSG00000005249",1038,1812,1164,4861,5020,4341,5395,948,1651,12045,1777,2197,5007,7981,2144,2641,4256,5060,1460,4709,1384,4046,586,5073,1604,"PRKAR2B"
"92","ENSG00000005302",1135,1206,657,1240,2325,2166,1724,1763,1544,1301,1002,3790,1274,1061,1218,1035,989,1762,3963,2523,1533,2441,560,3860,755,"MSL3"
"93","ENSG00000005339",6060,6386,4570,10331,7783,5764,9127,11888,11291,20560,6438,11081,8463,9443,3597,8562,7593,10778,1035,8070,8567,15875,4515,19141,2957,"CREBBP"
"94","ENSG00000005379",3260,1271,539,327,7449,3581,317,2103,1125,6891,650,5271,3080,2855,1550,2463,828,5957,1067,446,3106,571,580,5481,1353,"TSPOAP1"
"95","ENSG00000005381",3,11,14,7,18,45,8,6,20,3,3,54,31,3,17,2,17,21,1,29,21,52,68,244,4,"MPO"
"96","ENSG00000005421",2,2,3,23,4,15,2,34,7,1,65,33,82,1,0,0,0,40,61,1,28,74,7,39,10,"PON1"
"97","ENSG00000005436",1409,776,534,1153,1506,2518,1058,1496,1661,1634,788,1209,1409,761,1032,1311,1021,1256,2315,930,1217,4992,533,2171,795,"GCFC2"
"98","ENSG00000005448",1712,581,471,650,1959,1069,652,550,631,3482,585,447,2116,1223,207,1318,576,919,820,493,553,458,955,3222,2628,"WDR54"
"99","ENSG00000005469",2943,915,601,4307,6947,444,4070,2436,3211,2484,507,1688,713,887,425,1757,1522,3080,748,899,2327,1119,224,5701,1465,"CROT"
"100","ENSG00000005471",122,89,88,211,202,40,166,147,150,411,15,389,49,124,7,128,67,33,21,154,57,116,104,106,15,"ABCB4"
"101","ENSG00000005483",3622,4348,2439,7538,5567,5153,6572,7041,6615,13259,2051,9824,8259,4369,3276,7012,6047,6665,6886,4937,5167,14809,1755,13449,4232,"KMT2E"
"102","ENSG00000005486",11584,6311,2901,6025,6828,5856,8396,6868,4089,13421,5119,9085,13339,8544,3208,3970,8219,7863,6070,3570,3943,5596,3460,7324,13521,"RHBDD2"
"103","ENSG00000005513",66,123,56,61,81,5104,74,91,26,13,206,548,19,50,9591,9,30,166,182,33,170,5696,6,11,3,"SOX8"
"104","ENSG00000005700",1999,2265,1504,4701,3415,3087,6485,2915,3872,10039,4044,3426,7242,4833,1248,5853,4481,3619,3444,3330,2196,7065,1409,5297,3945,"IBTK"
"105","ENSG00000005801",1490,723,329,1341,1490,1069,711,1527,1317,2116,233,1794,2491,2050,1366,1047,1374,1679,4225,787,1386,2918,1269,1353,1166,"ZNF195"
"106","ENSG00000005810",1770,4038,2330,5377,5071,1844,7037,6227,4767,4696,2873,7108,9539,4997,668,2923,5735,4374,2253,8477,3996,11964,1006,9424,1370,"MYCBP2"
"107","ENSG00000005812",2755,3423,2086,3986,4823,2837,2766,6125,5071,6363,1178,3870,7072,5635,721,2280,4244,5563,2021,4698,3078,6122,1994,4324,2985,"FBXL3"
"108","ENSG00000005844",640,1281,585,853,4048,260,1706,1533,2535,1903,228,8342,1436,1341,190,224,1038,959,1294,6188,1287,2196,627,15023,118,"ITGAL"
"109","ENSG00000005882",1800,1724,883,2083,2319,431,2094,1409,1400,5291,296,912,816,2759,238,613,2070,2790,805,1584,1523,970,352,2011,823,"PDK2"
"110","ENSG00000005884",5291,6465,5112,6807,9465,2429,11163,5758,7118,9248,1365,3801,15277,6804,970,5233,9045,18269,1571,5252,8923,510,3209,6840,4356,"ITGA3"
"111","ENSG00000005889",2386,1942,1263,2587,3137,1345,3648,3138,4187,5543,961,3035,3980,4972,1522,4325,11922,3260,3247,2513,2656,3721,462,11761,2324,"ZFX"
"112","ENSG00000005893",7162,10008,7140,14469,11452,11834,12267,13661,15879,21171,15026,17920,13352,9174,10265,7659,15637,12296,19262,14067,8568,20511,5854,43584,6487,"LAMP2"
"113","ENSG00000005961",74,64,21,40,94,87,20,22,23,67,110,153,43,194,60,41,18,37,44,74,62,160,67,123,13,"ITGA2B"
"114","ENSG00000005981",0,3,4,13,0,7,2,30,0,7,37,18,41,0,1,0,1,12,25,9,17,30,0,7,3,"ASB4"
"115","ENSG00000006007",4828,4509,3169,8216,7974,2866,5282,12105,6902,15156,1994,2713,8955,4795,2343,3653,6006,7647,3578,4889,3130,8127,3878,12249,9196,"GDE1"
"116","ENSG00000006015",1513,513,863,499,3447,1291,874,1246,1110,928,1744,2613,1918,1155,2112,501,334,1650,1758,988,880,657,2044,1589,652,"REX1BD"
"117","ENSG00000006016",292,365,180,1338,254,234,288,155,355,72,149,293,86,813,125,127,138,1140,514,129,675,3011,278,68,82,"CRLF1"
"118","ENSG00000006025",976,493,340,567,2309,408,362,986,868,348,732,1499,1700,604,82,533,530,1502,926,513,1246,586,436,1654,519,"OSBPL7"
"119","ENSG00000006042",2185,1930,3616,6287,3538,511,1564,6718,3484,86,2870,5958,790,845,3265,1272,1355,5285,6561,1642,3697,8361,1048,2897,224,"TMEM98"
"120","ENSG00000006047",621,60,152,415,705,1173,32,184,295,543,275,916,465,697,1698,247,259,351,141,420,212,678,422,848,224,"YBX2"
"121","ENSG00000006059",8,120,3,2,3,8,7,1,13,251,0,2,0,35,8,5,0,16,1,4,6,29,0,7,0,"KRT33A"
"122","ENSG00000006062",668,776,1123,1005,1689,574,2132,1513,1133,577,860,3777,1719,2463,219,646,1085,1628,1639,1782,2487,1935,219,2144,450,"MAP3K14"
"123","ENSG00000006071",4660,37,85,179,3004,1,73,1057,583,5607,68,92,6626,2537,16,424,1270,3599,14,109,875,0,15,2848,212,"ABCC8"
"124","ENSG00000006116",0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,1,2,1,1,1,2,0,"CACNG3"
"125","ENSG00000006118",2097,2547,2422,12312,8415,13713,11751,13241,3569,18866,1212,19187,3893,9656,4963,2963,3127,5965,11177,1839,3051,5907,8173,3844,4979,"TMEM132A"
"126","ENSG00000006125",11207,17436,11073,24214,27415,7961,21499,27262,29301,55803,9858,12296,69460,46448,10484,24819,24748,32954,14137,14257,13817,40957,9594,58032,17104,"AP2B1"
"127","ENSG00000006128",2,43,14,63,85,1,53,15,23,0,0,18,0,106,0,42,16,58,2,45,100,1,1,0,0,"TAC1"
"128","ENSG00000006194",1925,1453,1145,2964,4134,1533,3131,3474,3323,7464,1693,3135,2876,4084,1528,2537,3306,3530,187,1979,1979,2542,966,4871,1833,"ZNF263"
"129","ENSG00000006210",1967,12554,4732,3008,3945,6457,2777,1872,1482,409,2749,17305,5273,1783,1779,1231,4084,16667,8395,9060,16716,1094,992,1234,663,"CX3CL1"
"130","ENSG00000006282",4206,2099,2769,3903,11239,2838,6179,6217,5245,12905,2805,3637,8542,7396,1399,3687,2323,7171,1784,2418,4343,863,3701,4838,2265,"SPATA20"
"131","ENSG00000006283",40,74,100,26,87,7,99,50,58,3,142,155,29,29,7,63,32,36,93,26,292,6,3,16,7,"CACNA1G"
"132","ENSG00000006327",2406,2520,3177,2548,8504,5937,2030,3337,3515,336,3061,3916,922,919,2030,2652,1146,3952,1197,2313,1424,1292,647,302,2118,"TNFRSF12A"
"133","ENSG00000006377",0,9,2,16,4,0,5,2,5,2,137,6,55,0,517,1,2,2,2,1,8,182,2,13,0,"DLX6"
"134","ENSG00000006432",772,764,238,630,324,1683,703,1770,728,3226,111,861,3667,2403,435,1112,640,1647,1186,534,473,2237,569,5481,774,"MAP3K9"
"135","ENSG00000006451",3651,4260,2318,4186,4744,2665,4967,6430,4371,4708,1687,4490,4424,5389,2238,4931,3860,3409,6554,4471,2647,5014,4022,6623,4218,"RALA"
"136","ENSG00000006453",2177,1438,926,1850,815,4443,2457,2069,2087,5655,2595,4907,2899,2056,2149,1687,2402,2193,5374,1001,1436,4092,3509,3242,1907,"BAIAP2L1"
"137","ENSG00000006459",955,1506,1028,5845,1524,3445,2382,1703,1576,2347,882,5180,1702,2159,2208,2001,1182,1892,5015,2593,2299,4794,3025,3244,1135,"KDM7A"
"138","ENSG00000006468",739,1353,578,559,944,198,1298,1247,1519,60,57,438,424,202,447,1282,297,1191,726,1338,1109,1340,626,706,107,"ETV1"
"139","ENSG00000006530",1703,1052,768,2015,1733,3594,2000,1934,1496,2485,1536,3787,2126,1838,2668,1052,1617,2237,7491,1118,1476,2387,1408,2772,1861,"AGK"
"140","ENSG00000006534",827,657,779,798,1169,2761,794,873,1596,891,2173,1018,1244,828,184,214,399,838,564,1341,594,307,379,2344,559,"ALDH3B1"
"141","ENSG00000006555",142,256,424,300,390,935,95,1020,803,12,3227,1756,669,25,1126,28,113,980,1750,365,537,846,519,2119,596,"TTC22"
"142","ENSG00000006576",1308,1797,942,2327,2175,1565,2393,1711,2109,2657,1213,4191,2090,2521,1493,2471,1538,1171,2461,1674,987,4543,693,3448,843,"PHTF2"
"143","ENSG00000006606",50,13,23,14,31,10,13,14,21,3,59,7,11,10,35,2,35,2,39,27,3,8,43,1,3,"CCL26"
"144","ENSG00000006607",1256,1428,1054,2464,2309,2076,1627,2513,2390,3664,1093,3844,2198,2165,660,2526,2872,2941,5113,1276,1720,2739,633,991,1015,"FARP2"
"145","ENSG00000006611",20,10,1,3,9,9,0,1,0,2,14,72,19,13,3,1,1,29,122,13,24,1,31,118,0,"USH1C"
"146","ENSG00000006625",5507,2165,1150,3994,4233,2798,4971,3319,2497,3754,952,2442,3296,3232,5392,1681,2616,3950,6306,3397,1625,4631,1943,5418,3199,"GGCT"
"147","ENSG00000006634",592,271,195,1244,637,1536,492,593,719,907,337,1473,1051,681,797,704,742,578,2447,617,348,3704,338,1489,920,"DBF4"
"148","ENSG00000006638",247,164,157,258,266,96,210,323,135,168,123,187,166,304,385,71,77,113,93,252,113,78,124,45,48,"TBXA2R"
"149","ENSG00000006652",1329,958,545,1926,2125,2894,1545,1681,1084,1740,3562,7414,1318,1485,4906,1600,1212,2435,4461,1178,2104,4337,1448,1605,1725,"IFRD1"
"150","ENSG00000006659",0,0,7,0,1,0,1,1,2,1,0,0,0,0,0,4,30,16,1,5,0,0,0,35,0,"LGALS14"
"151","ENSG00000006695",529,687,447,674,778,1015,659,834,737,942,434,851,1587,1637,710,855,890,1166,1420,729,537,1477,544,1650,330,"COX10"
"152","ENSG00000006704",1765,1132,924,2714,2921,3033,3113,2814,2033,3340,1308,2859,2787,2176,1699,2391,1675,3108,4410,1031,1756,5289,2646,2311,1568,"GTF2IRD1"
"153","ENSG00000006712",5187,4873,2286,4608,9529,2866,4519,4912,3847,9901,1391,5195,9616,3868,1630,3960,4310,7139,6417,2613,3305,5490,2937,11837,3441,"PAF1"
"154","ENSG00000006715",2212,2169,1678,4776,4182,1488,5319,3966,4098,13836,2514,4019,5384,6966,2234,4060,4257,3589,3875,3161,2545,4594,2246,7554,2771,"VPS41"
"155","ENSG00000006740",314,747,344,234,576,157,497,317,508,2056,138,618,1883,792,309,541,1334,1185,647,619,572,347,428,2821,439,"ARHGAP44"
"156","ENSG00000006744",2094,4091,2331,2238,3822,3974,3901,3974,2916,5347,2609,5116,9854,5946,2963,4132,4751,6279,5793,3575,2653,3867,3059,8546,1610,"ELAC2"
"157","ENSG00000006747",365,121,114,129,665,193,480,1554,2286,586,1217,1165,570,46,291,451,71,171,861,881,322,217,185,631,60,"SCIN"
"158","ENSG00000006756",5069,5774,3159,3568,9814,1342,11292,15628,8179,5578,2929,2637,19816,14201,2537,7782,7599,15087,4841,3250,4351,3804,1987,24704,4710,"ARSD"
"159","ENSG00000006757",1471,2263,731,866,3247,376,2981,2597,1858,1250,342,556,3385,4318,289,2107,3271,3023,792,1062,1023,101,253,4272,2747,"PNPLA4"
"160","ENSG00000006788",38,35,42,20,27,12,31,59,37,1,1,57,2,5,1,28,7,2,12,34,17,13,8,13,0,"MYH13"
"161","ENSG00000006831",6038,11226,2262,7701,7032,4299,34374,3509,12115,22380,5196,5538,6974,17039,2479,7512,8950,6558,6820,4851,3380,16163,3869,19376,5067,"ADIPOR2"
"162","ENSG00000006837",34,22,29,43,90,54,51,59,44,174,21,80,48,86,32,220,71,79,174,33,64,59,20,124,91,"CDKL3"
