"","Row.names","TCGA-AO-A126","TCGA-A2-A0CZ","TCGA-AC-A23G","TCGA-AN-A0XL","TCGA-EW-A3E8","TCGA-B6-A402","TCGA-EW-A1PF","TCGA-AC-A2QI","TCGA-E2-A10F","TCGA-A8-A06N","TCGA-A7-A5ZV","TCGA-LL-A441","TCGA-A7-A3J0","TCGA-AC-A2FM","TCGA-AO-A0JL","TCGA-D8-A1XD","TCGA-E2-A15F","TCGA-E2-A14U","TCGA-B6-A0IQ","TCGA-E2-A108","TCGA-A2-A4RY","TCGA-A8-A07C","TCGA-A2-A0CY","TCGA-A8-A08I","TCGA-E9-A54X","y"
"1310","ENSG00000075426",5503,9022,12228,15596,8582,5399,9300,20927,21359,5706,6383,4974,17308,14551,1922,8851,8123,16691,7379,12067,8566,8729,6648,22966,6680,"FOSL2"
"1311","ENSG00000075429",0,0,0,0,0,2,1,1,1,1,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,"CACNG5"
"1312","ENSG00000075461",18310,8140,881,11857,11698,728,3228,7005,8724,9664,2672,202,1675,2139,109,10646,6091,6665,120,1491,2628,10,76,4866,1087,"CACNG4"
"1313","ENSG00000075539",1818,2720,1658,5936,4279,1590,5982,4004,5916,10890,548,3582,4445,5604,1224,6060,3967,4067,1746,4112,2627,9073,2183,7390,1831,"FRYL"
"1314","ENSG00000075568",3137,3802,2077,4893,5076,2863,7249,5554,5915,4675,3349,6071,5702,2708,1491,6644,7171,5013,4631,4443,3701,10032,2188,7684,2311,"TMEM131"
"1315","ENSG00000075618",7742,5791,6711,3083,5681,9730,5143,8890,3568,1119,25137,5881,2710,2625,7097,1945,1210,2155,12007,5457,2731,7520,871,1824,380,"FSCN1"
"1316","ENSG00000075624",433760,292031,243069,212679,293781,248456,336900,274382,308153,190311,139946,337692,166269,181073,469052,147558,157836,212177,390857,369958,196881,210128,151796,253617,173983,"ACTB"
"1317","ENSG00000075643",209,308,431,436,1065,1243,612,953,1147,896,164,526,1750,924,742,493,1763,758,1256,504,406,174,819,6310,227,"MOCOS"
"1318","ENSG00000075651",522,1064,466,1255,537,1423,960,874,827,377,183,1288,1276,290,632,434,665,757,1596,1287,1102,4539,215,918,332,"PLD1"
"1319","ENSG00000075673",2,2,4,1,3,1,5,1,4,24,7,28,63,35,1,206,39,3,48,5,1,2,2,10,0,"ATP12A"
"1320","ENSG00000075702",392,189,213,541,981,5097,727,272,477,887,551,985,1484,1239,508,741,691,241,1349,366,295,1712,257,2497,302,"WDR62"
"1321","ENSG00000075711",2004,2649,1693,4413,4619,5924,4985,4017,3194,6574,2129,5989,5081,5623,3109,4522,4039,3906,4466,3317,2833,8232,1274,7146,3412,"DLG1"
"1322","ENSG00000075785",19734,11094,7786,13320,16595,16488,23492,21754,18557,33491,11921,15812,19653,23568,9015,11189,14528,16858,26423,17151,9417,18927,9425,32191,12124,"RAB7A"
"1323","ENSG00000075790",2963,2204,1687,5513,3245,2677,2745,3410,2944,4705,1840,4447,3333,2618,1741,1942,2939,3474,2914,2534,1609,5887,1432,3416,3500,"BCAP29"
"1324","ENSG00000075826",469,140,49,173,912,521,365,258,390,474,157,1463,305,460,205,358,187,932,473,275,1103,122,67,428,512,"SEC31B"
"1325","ENSG00000075856",2510,2821,1514,3441,5080,3090,4197,5067,4490,9967,2177,5705,4265,6084,952,4791,4035,4272,6493,3316,3380,11729,3376,7957,2098,"SART3"
"1326","ENSG00000075884",485,322,179,419,1179,77,335,589,472,152,135,1850,313,199,222,68,185,201,322,1220,418,554,26,1467,24,"ARHGAP15"
"1327","ENSG00000075886",82,15,24,321,156,27,210,163,220,39,2,50,1348,35,16,53,626,109,40,22,316,18,15,914,3140,"TUBA3D"
"1328","ENSG00000075891",98,406,2,4,37,9,769,7,42,3,3,14,10,471,813,266,487,39,4,25,66,0,14,78,29,"PAX2"
"1329","ENSG00000075914",1094,1267,572,1185,1657,1884,1577,1807,1574,1553,705,2172,1546,1466,1459,1366,1037,2151,2096,1055,1072,2373,1090,2375,1157,"EXOSC7"
"1330","ENSG00000075945",2219,3421,1950,3383,3174,3171,3469,4597,4999,4994,2326,4715,4559,2048,2298,2462,2552,2098,4667,2573,1936,8399,2368,5107,1112,"KIFAP3"
"1331","ENSG00000075975",1629,1461,851,1752,1920,2152,2200,2571,2339,3020,1644,1757,2208,2497,841,2028,2185,2233,2136,1419,1557,6766,1383,3974,1675,"MKRN2"
"1332","ENSG00000076003",2069,1730,1296,3372,3272,4762,3588,2450,3372,5057,3379,5145,2626,1980,1819,3412,3633,1123,14258,2776,1391,11748,1382,7523,1052,"MCM6"
"1333","ENSG00000076043",1606,1587,1340,1853,2709,3666,1598,1755,3323,1991,1414,5711,3547,820,1320,1800,941,1946,4335,2432,1655,9069,2190,2575,1241,"REXO2"
"1334","ENSG00000076053",473,1019,693,1047,1214,1095,861,1110,1566,973,451,2297,2158,777,335,1196,662,1385,1581,1335,949,4783,1729,2167,712,"RBM7"
"1335","ENSG00000076067",2968,2733,1521,3828,2707,1932,3078,2226,2483,1926,1077,2235,886,971,1305,1865,1924,2577,2744,3399,2354,2731,714,3877,932,"RBMS2"
"1336","ENSG00000076108",4769,4373,3327,11409,8229,4561,13150,9728,9644,27541,2466,11619,13319,13323,1907,10831,11077,9118,8176,6707,7674,10652,6092,20140,4714,"BAZ2A"
"1337","ENSG00000076201",2876,4415,2382,4175,4276,5356,7170,6227,5334,5809,1450,6916,8680,6883,2465,4389,5187,5302,4551,3624,4325,2307,2858,7280,1983,"PTPN23"
"1338","ENSG00000076242",1513,1737,878,1980,2497,974,2395,2364,2428,3668,997,2399,3536,3112,768,2211,3122,2651,1763,2332,1522,8906,597,5185,1605,"MLH1"
"1339","ENSG00000076248",3276,1314,857,2408,2980,4538,3190,2879,2648,5752,2234,4737,5715,7016,2441,3198,3045,3347,6135,2669,1533,17225,4390,7231,2168,"UNG"
"1340","ENSG00000076258",432,272,166,582,552,397,437,517,403,957,339,519,156,231,355,75,183,642,382,697,417,474,105,1003,72,"FMO4"
"1341","ENSG00000076321",572,866,687,1891,1162,1255,1257,1846,1675,3041,537,1744,1013,1372,578,982,911,970,1343,1168,968,2224,607,2218,353,"KLHL20"
"1342","ENSG00000076344",1547,96,296,331,1154,166,384,1082,701,7,161,119,767,953,2644,687,600,247,44,663,995,18,99,622,405,"RGS11"
"1343","ENSG00000076351",866,684,328,933,936,386,419,1156,999,6008,425,892,1477,2408,728,731,665,1516,374,597,939,339,1632,1869,997,"SLC46A1"
"1344","ENSG00000076356",1052,1468,1399,2133,1247,4146,2484,2585,1446,802,1746,1798,1088,1602,2775,1261,886,576,1190,1342,1241,590,469,918,249,"PLXNA2"
"1345","ENSG00000076382",1001,357,451,1470,1169,1504,874,582,1402,2662,1147,2219,1814,2485,2144,1396,1431,336,6268,1117,495,8936,3628,2706,791,"SPAG5"
"1346","ENSG00000076513",2310,2333,1816,2205,3453,2462,3071,3054,2765,4113,1310,7596,2647,5267,1319,2683,2815,3441,2472,2878,2888,13429,1575,4938,1297,"ANKRD13A"
"1347","ENSG00000076554",6837,7488,1724,11114,12701,27522,13502,13372,10640,63363,7294,7482,27872,38941,14603,4332,16160,12673,4913,12308,4732,19366,7659,20293,16065,"TPD52"
"1348","ENSG00000076555",1200,2631,594,5750,4762,341,3040,1968,1407,8974,180,2393,1434,5005,328,1914,3102,2655,996,5294,2993,1159,602,4864,580,"ACACB"
"1349","ENSG00000076604",5757,2376,2203,3702,9419,4323,3292,6049,3195,8406,2051,15733,5944,8177,5748,3483,4157,8569,7619,2365,4208,13601,25896,4215,3917,"TRAF4"
"1350","ENSG00000076641",612,638,301,499,1202,1574,1097,1002,1024,873,700,2753,602,532,993,476,593,384,447,1924,473,2358,92,4989,175,"PAG1"
"1351","ENSG00000076650",587,723,310,1105,1252,431,861,1154,950,1993,554,1500,1250,654,503,811,1602,1132,2108,559,663,2604,710,2735,365,"GPATCH1"
"1352","ENSG00000076662",43,89,27,34,371,2,93,129,90,18,12,885,56,32,25,18,45,25,97,392,117,141,4,452,1,"ICAM3"
"1353","ENSG00000076685",348,1088,671,1948,1180,2424,2004,1087,1389,1226,1155,2824,1808,2062,426,1498,1772,1364,1774,1300,1859,3940,2256,2768,482,"NT5C2"
"1354","ENSG00000076706",10707,7798,8786,19209,13700,5823,10306,12873,7316,4444,2283,9328,7771,6605,10040,4024,2538,8847,9508,13395,7241,8206,2409,2084,1071,"MCAM"
"1355","ENSG00000076716",2871,1350,2649,8183,4937,670,2361,8418,2360,8147,1816,758,323,538,379,2367,1740,1926,897,1972,1046,4600,5232,10525,2721,"GPC4"
"1356","ENSG00000076770",559,654,609,450,714,492,980,1173,1474,1797,611,1962,617,153,565,758,1634,637,1884,1362,1043,2927,610,2795,342,"MBNL3"
"1357","ENSG00000076826",3052,1185,911,2223,4118,1452,4112,4937,1809,8477,1470,3865,4038,6543,1996,2273,2736,6379,4210,956,2857,503,2279,1746,2179,"CAMSAP3"
"1358","ENSG00000076864",4720,1034,262,1618,3690,1795,1521,1679,665,7610,437,2338,5064,2289,1084,607,608,3872,1705,229,1866,1539,1091,5265,989,"RAP1GAP"
"1359","ENSG00000076924",5028,3695,2040,3253,8225,3081,4003,6077,3477,9150,4051,5667,6139,7690,2756,3104,3382,7104,6693,2460,4366,4056,3816,4403,2808,"XAB2"
"1360","ENSG00000076928",5073,4349,3256,4452,14156,6802,4164,7620,5733,5329,3448,23724,7391,3114,3067,3741,3388,6708,7715,5050,7389,5368,5135,10514,2713,"ARHGEF1"
"1361","ENSG00000076944",3032,2336,1360,2381,6324,2328,3724,4740,3450,6400,816,4004,4912,8455,1206,1635,3279,5688,2769,2036,3055,1794,3775,3937,2952,"STXBP2"
"1362","ENSG00000076984",2411,1952,1534,2361,4705,2370,2326,2787,2167,4542,2489,5017,5235,6261,2177,1846,2091,4253,4357,1516,3020,4385,1418,2209,1683,"MAP2K7"
"1363","ENSG00000077009",0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,1,0,25,0,0,0,0,3,5,0,"NMRK2"
"1364","ENSG00000077044",6406,2072,730,3800,5710,1804,2365,6709,3176,14136,422,5941,10008,7632,1138,3676,1477,7605,2611,1819,3370,2572,1348,2446,3098,"DGKD"
"1365","ENSG00000077063",141,272,183,366,241,9,623,339,314,29,77,181,3270,424,1,1005,253,217,20,322,506,57,829,71,1070,"CTTNBP2"
"1366","ENSG00000077080",0,0,0,1,6,6,1,2,1,4,6,4,1014,3,0,3,0,1,1,0,1,0,4,6,15,"ACTL6B"
"1367","ENSG00000077092",312,469,275,228,400,1071,366,285,383,209,876,1408,349,424,221,250,162,1038,144,525,1237,1007,39,306,48,"RARB"
"1368","ENSG00000077097",6286,7981,4667,11092,12293,9362,13305,14318,12022,20861,7901,14982,11977,14488,3845,14742,13242,13941,17858,9407,7962,88578,5450,30655,7854,"TOP2B"
"1369","ENSG00000077147",14117,12818,6448,17477,14935,12264,22385,14328,12360,24416,8788,16590,18613,18482,10390,13442,16081,14577,11922,12249,9686,29870,7501,31815,11771,"TM9SF3"
"1370","ENSG00000077150",4245,3184,1430,1873,9091,3141,5299,2572,4720,2180,1831,9734,3065,1405,2082,1556,3160,2388,4233,3244,4065,1840,2122,5565,1323,"NFKB2"
"1371","ENSG00000077152",428,204,275,576,802,4830,570,241,881,1106,915,1141,1121,1357,6467,517,589,168,4100,626,192,5681,897,2703,682,"UBE2T"
"1372","ENSG00000077157",3515,2937,2227,10304,2819,3520,3247,3119,5715,4845,867,4718,2246,1842,4012,2463,2382,4517,2737,5741,3808,3039,1310,4079,452,"PPP1R12B"
"1373","ENSG00000077232",6957,8012,3126,12872,10157,9071,10218,9359,11366,15256,4575,13356,19052,3413,4204,5965,10042,7725,9496,6314,5785,18842,4356,16872,8182,"DNAJC10"
"1374","ENSG00000077235",6293,7336,4734,10464,15325,3862,11041,14041,7956,32259,5249,7212,12003,10183,4224,9248,10729,7991,12614,5554,5997,13513,6287,12938,5772,"GTF3C1"
"1375","ENSG00000077238",1993,3395,2690,2260,6094,935,3337,9852,4468,458,763,8614,1366,1126,1356,1544,2882,6349,1095,4381,5289,1596,2614,4597,996,"IL4R"
"1376","ENSG00000077254",4079,2407,1466,5146,4920,2363,6038,5691,4470,8837,510,4725,6938,3833,1687,4372,4941,4377,4955,3250,3121,7089,1096,9418,3705,"USP33"
"1377","ENSG00000077264",60,201,55,193,145,44,216,85,101,8,30,326,183,57,20,115,67,642,386,250,654,204,13,127,45,"PAK3"
"1378","ENSG00000077274",2,451,12,464,95,7,160,68,23,0,483,707,17,244,376,11,118,447,5158,458,645,59,140,44,13,"CAPN6"
"1379","ENSG00000077279",14,55,8,50,28,0,75,68,3,0,28,56,155,74,220,30,130,183,1125,11,159,165,2,351,0,"DCX"
"1380","ENSG00000077312",6495,2463,1575,2289,5004,4226,2397,3221,2590,3199,3095,5608,4896,2409,5109,2087,2797,4229,12116,2423,2854,4766,4857,5215,2411,"SNRPA"
"1381","ENSG00000077327",6,6,4,1644,5,2,882,23,5,7,0,13,1656,17,2,2,4,618,3,10,59,6,2,10,391,"SPAG6"
"1382","ENSG00000077348",1948,1186,818,854,2437,2166,986,1742,1100,1514,1204,2201,3058,1343,816,829,786,2237,3409,618,1030,2069,1789,2604,1102,"EXOSC5"
