miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	5	2.798369	N
hsa-mir-1307	694	388.413633	N
hsa-mir-130a	192	107.457374	N
hsa-mir-130b	2	1.119348	N
hsa-mir-132	84	47.012601	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	1.119348	N
hsa-mir-133a-2	6	3.358043	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	626	350.355813	N
hsa-mir-1343	1	0.559674	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	1	0.559674	N
hsa-mir-135b	1	0.559674	N
hsa-mir-136	35	19.588584	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.559674	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	632	353.713856	N
hsa-mir-140	2780	1555.893225	N
hsa-mir-141	674	377.220156	N
hsa-mir-142	571	319.573752	N
hsa-mir-143	176706	98897.722407	N
hsa-mir-144	486	272.001478	N
hsa-mir-145	6527	3652.991037	N
hsa-mir-1468	44	24.625648	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	131	73.317271	N
hsa-mir-146b	442	247.375829	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.559674	N
hsa-mir-148a	51898	29045.952019	N
hsa-mir-148b	108	60.444773	N
hsa-mir-149	56	31.341734	N
hsa-mir-150	1022	571.986646	N
hsa-mir-151a	2705	1513.917689	N
hsa-mir-151b	2	1.119348	N
hsa-mir-152	347	194.206816	N
hsa-mir-153-1	1	0.559674	N
hsa-mir-153-2	11	6.156412	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.559674	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	6	3.358043	N
hsa-mir-155	212	118.650850	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	104	58.206077	N
hsa-mir-15b	128	71.638249	N
hsa-mir-16-1	137	76.675314	N
hsa-mir-16-2	134	74.996292	N
hsa-mir-17	625	349.796139	Y
hsa-mir-181a-1	834	466.767968	N
hsa-mir-181a-2	1960	1096.960691	N
hsa-mir-181b-1	129	72.197923	N
hsa-mir-181b-2	118	66.041511	N
hsa-mir-181c	70	39.177168	N
hsa-mir-181d	18	10.074129	N
hsa-mir-182	7836	4385.604070	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1761	985.585601	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	44	24.625648	N
hsa-mir-186	400	223.869529	N
hsa-mir-187	4	2.238695	N
hsa-mir-188	1	0.559674	N
hsa-mir-18a	5	2.798369	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	11	6.156412	N
hsa-mir-190b	1	0.559674	N
hsa-mir-191	404	226.108224	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	244	136.560413	N
hsa-mir-193a	1463	818.802802	N
hsa-mir-193b	128	71.638249	N
hsa-mir-194-1	113	63.243142	N
hsa-mir-194-2	136	76.115640	N
hsa-mir-195	250	139.918456	N
hsa-mir-196a-1	28	15.670867	N
hsa-mir-196a-2	34	19.028910	N
hsa-mir-196b	218	122.008893	N
hsa-mir-197	347	194.206816	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	11	6.156412	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	3085	1726.593741	Y
hsa-mir-199a-2	5134	2873.365403	Y
hsa-mir-199b	6608	3698.324616	Y
hsa-mir-19a	21	11.753150	N
hsa-mir-19b-1	84	47.012601	N
hsa-mir-19b-2	75	41.975537	N
hsa-mir-200a	375	209.877683	N
hsa-mir-200b	394	220.511486	N
hsa-mir-200c	7264	4065.470644	N
hsa-mir-202	1	0.559674	N
hsa-mir-203a	3972	2223.024421	N
hsa-mir-203b	18	10.074129	N
hsa-mir-204	20	11.193476	N
hsa-mir-205	5689	3183.984374	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	289	161.745735	N
hsa-mir-20b	7	3.917717	N
hsa-mir-21	72021	40308.268341	N
hsa-mir-210	29	16.230541	N
hsa-mir-211	1	0.559674	N
hsa-mir-2110	2	1.119348	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	5	2.798369	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	1	0.559674	N
hsa-mir-214	35	19.588584	N
hsa-mir-215	25	13.991846	N
hsa-mir-216a	1	0.559674	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	51	28.543365	N
hsa-mir-218-1	51	28.543365	N
hsa-mir-218-2	64	35.819125	N
hsa-mir-219a-1	1	0.559674	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	136136	76191.755445	N
hsa-mir-221	135	75.555966	N
hsa-mir-222	45	25.185322	N
hsa-mir-223	104	58.206077	N
hsa-mir-224	104	58.206077	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	0	0.000000	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	73	40.856189	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	3736	2090.941399	Y
hsa-mir-23b	832	465.648620	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	581	325.170491	N
hsa-mir-24-2	568	317.894731	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	18257	10217.964970	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	1928	1079.051129	N
hsa-mir-26a-2	1999	1118.787970	N
hsa-mir-26b	894	500.348397	N
hsa-mir-27a	897	502.027418	Y
hsa-mir-27b	660	369.384723	Y
hsa-mir-28	13931	7796.816016	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	8	4.477391	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	3	1.679021	N
hsa-mir-29a	10636	5952.690772	N
hsa-mir-29b-1	319	178.535949	N
hsa-mir-29b-2	359	200.922902	Y
hsa-mir-29c	3657	2046.727167	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	6	3.358043	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	31	17.349888	N
hsa-mir-3074	12	6.716086	N
hsa-mir-30a	143407	80261.143805	Y
hsa-mir-30b	630	352.594508	Y
hsa-mir-30c-1	531	297.186800	Y
hsa-mir-30c-2	728	407.442542	N
hsa-mir-30d	15039	8416.934611	N
hsa-mir-30e	30767	17219.484484	Y
hsa-mir-31	4	2.238695	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	1	0.559674	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	3	1.679021	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	1	0.559674	N
hsa-mir-3130-1	3	1.679021	N
hsa-mir-3130-2	6	3.358043	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	1	0.559674	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	2	1.119348	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	1	0.559674	N
