miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1229	1	0.247054	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	4.446965	N
hsa-mir-1245b	1	0.247054	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	310	76.586628	N
hsa-mir-1248	3	0.741161	N
hsa-mir-1249	13	3.211697	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.247054	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	29	7.164556	N
hsa-mir-125a	3878	958.074009	N
hsa-mir-125b-1	4680	1156.211027	N
hsa-mir-125b-2	4993	1233.538816	N
hsa-mir-126	23384	5777.102278	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.988215	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	17	4.199912	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14	3.458751	N
hsa-mir-1269b	1	0.247054	N
hsa-mir-127	6275	1550.261580	N
hsa-mir-1270	5	1.235268	N
hsa-mir-1271	17	4.199912	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.494107	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	224	55.340015	N
hsa-mir-128-2	118	29.152329	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.247054	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	109	26.928847	N
hsa-mir-1288	2	0.494107	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	2.223483	N
hsa-mir-129-2	9	2.223483	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.247054	N
hsa-mir-1292	1	0.247054	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	4	0.988215	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	28	6.917502	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	12	2.964644	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.494107	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	30	7.411609	N
hsa-mir-1307	2107	520.542016	N
hsa-mir-130a	467	115.374049	N
hsa-mir-130b	28	6.917502	N
hsa-mir-132	369	91.162793	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	2.470536	N
hsa-mir-133a-2	12	2.964644	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2790	689.279651	N
hsa-mir-1343	6	1.482322	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	2	0.494107	N
hsa-mir-135b	22	5.435180	N
hsa-mir-136	145	35.822778	N
hsa-mir-137	1	0.247054	N
hsa-mir-138-1	2	0.494107	N
hsa-mir-138-2	1	0.247054	N
hsa-mir-139	1220	301.405439	N
hsa-mir-140	5894	1456.134144	N
hsa-mir-141	1374	339.451699	N
hsa-mir-142	3898	963.015082	N
hsa-mir-143	409463	101159.323903	N
hsa-mir-144	492	121.550390	N
hsa-mir-145	20754	5127.351209	N
hsa-mir-1468	30	7.411609	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	733	181.090317	N
hsa-mir-146b	2822	697.185367	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.247054	N
hsa-mir-148a	92624	22883.096195	N
hsa-mir-148b	217	53.610640	N
hsa-mir-149	311	76.833682	N
hsa-mir-150	3227	797.242091	N
hsa-mir-151a	6886	1701.211353	N
hsa-mir-151b	10	2.470536	N
hsa-mir-152	1039	256.688730	N
hsa-mir-153-1	5	1.235268	N
hsa-mir-153-2	72	17.787862	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	45	11.117414	N
hsa-mir-155	1126	278.182397	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	280	69.175019	N
hsa-mir-15b	256	63.245731	N
hsa-mir-16-1	435	107.468333	N
hsa-mir-16-2	448	110.680030	N
hsa-mir-17	1082	267.312037	Y
hsa-mir-181a-1	1876	463.472625	N
hsa-mir-181a-2	3951	976.108925	N
hsa-mir-181b-1	223	55.092961	N
hsa-mir-181b-2	175	43.234387	N
hsa-mir-181c	190	46.940191	N
hsa-mir-181d	44	10.870360	N
hsa-mir-182	25407	6276.891789	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	7045	1740.492882	N
hsa-mir-184	5	1.235268	N
hsa-mir-185	167	41.257958	N
hsa-mir-186	1045	258.171052	N
hsa-mir-187	10	2.470536	N
hsa-mir-188	8	1.976429	N
hsa-mir-18a	19	4.694019	N
hsa-mir-18b	0	0.000000	N
